time,difference
158.4,3.2496653952
158.7,3.3461261722
159,3.3110799364
159.1,3.2131175764
159.3,3.1349075472
159.4,3.1077051699
159.6,3.1546643468
159.7,3.1785093908
159.9,3.3888215947
160.1,3.4864226448
160.5,3.4662466546
160.6,3.5257664685
160.9,3.5349808005
161,3.6639770139
161.3,3.5861006454
161.4,3.5581460213
161.8,3.5741101154
161.9,3.5019092322
162.1,3.4032091215
162.3,3.3603137647
162.5,3.4455088533
162.8,3.3842449557
163.1,3.3136138706
163.5,3.386559467
163.7,3.2388414303
164,3.2337598679
164.6,3.223753798
165.4,3.3681412976
165.6,3.3360409531
165.9,3.3718493917
166,3.5018038821
166.6,3.5617377251
166.9,3.4088573964
167.3,3.4590983249
167.6,3.4185487618
168,3.4442364799
168.1,3.3831709035
168.7,3.3734457682
168.9,3.4431445559
169,3.3261337755
169.2,3.3661254933
169.4,3.4039846792
169.6,3.3666800891
169.7,3.3312003098
170.1,3.3326901992
170.6,3.316071056
171,3.3183532724
171.3,3.2806763261
171.4,3.2325087184
171.5,3.1183732111
171.6,3.1379591266
171.9,3.1477162654
172.5,3.2257682622
172.8,3.2273752958
173,3.2187811713
173.1,3.2316334536
173.4,3.3321739636
173.6,3.3844697843
174,3.4460389178
174.3,3.5111748407
174.4,3.5226120459
174.8,3.4931674851
175.1,3.4761489198
175.3,3.5678289565
175.4,3.5072918197
175.7,3.5314222217
176.5,3.4960728747
176.7,3.4271621555
177.2,3.3752054314
177.5,3.2903489587
177.9,3.3870932584
178.4,3.3447971182
178.6,3.3755567199
178.7,3.4524143721
179,3.5217364622
179.1,3.4861808851
179.4,3.560894001
179.5,3.4902527057
179.6,3.4018496541
179.7,3.3064569133
179.8,3.3401368669
180.1,3.5257955793
180.2,3.4478335977
180.4,3.4010215351
180.8,3.3647435606
181.1,3.5123133689
181.5,3.5079109407
181.6,3.5888783099
181.8,3.669526112
182.1,3.5646845322
182.2,3.5354263607
182.4,3.460293028
182.7,3.5021742469
183,3.6153060084
183.2,3.5952090372
183.4,3.5677939476
183.6,3.5392182315
184.1,3.556134553
184.4,3.5972474379
184.5,3.629573922
184.6,3.7147788006
184.9,3.7118771027
185,3.8178343567
185.3,3.9819094047
185.5,3.8802348809
185.6,3.9382255707
185.8,4.0091744298
186.1,4.0630548675
186.4,4.0226597454
186.7,3.822341795
186.9,3.9223328838
