time,difference
114.8,14.9545102658
114.9,20.0272921
115,18.4470258556
115.1,9.3828600975
115.2,23.2618021617
115.3,20.6435666088
115.4,9.1144848214
115.5,0.3702293514
115.6,10.2040817605
115.7,3.4107775352
115.9,10.4522559355
116,3.971113886
116.1,13.0899551329
116.2,6.1549259279
116.3,13.2664883961
116.5,12.6557070854
116.6,15.2856429066
116.8,24.0998029271
116.9,12.0189323029
117,8.5477397188
117.2,2.2613398042
117.3,1.6064953927
117.4,23.9381734677
117.5,8.3809133636
117.6,22.4163058874
117.7,9.0762032937
117.8,7.2005023619
117.9,11.3315827229
118,23.2037015019
118.1,14.0269479731
118.2,22.7330365973
118.3,19.1558325602
118.5,13.2033969982
118.6,5.5796841798
118.7,13.7495854803
118.9,14.6530147469
119,15.4888861049
119.1,7.8957950883
119.2,26.3520873911
119.3,23.0797267564
119.4,12.9425539332
119.5,2.8976746174
119.7,21.2716727523
119.9,20.9088593702
120.1,12.4005038968
120.2,11.6252363717
120.3,10.2331922051
120.5,5.1361057841
120.7,16.8173856593
121,16.94934289
121.1,0.6115497922
121.2,11.3930948712
121.3,4.0098880617
121.4,5.1986586478
121.5,11.6477232907
121.6,11.0539617352
121.7,23.0809164229
121.8,15.3899804035
121.9,4.5869867202
122,11.6886949792
122.1,13.5213518726
122.3,10.467093385
122.4,18.3309479663
122.5,14.9800226167
122.6,23.3915704512
122.7,22.4377659082
122.8,21.9218031641
122.9,6.9279408711
123,21.6405593859
123.1,27.0425138201
123.2,9.347580188
123.3,9.8040441123
123.5,17.8440938763
123.7,16.3617513941
124,10.2009133551
124.1,8.3091461337
124.2,24.2728917011
124.3,1.5456843858
124.4,11.9927980856
124.5,29.2673821712
124.6,25.3191763617
124.7,25.2671150654
124.8,21.4871840178
125.1,3.3524253443
125.2,9.7916573806
125.3,9.817680036
125.4,24.1839142424
125.5,14.2524649098
125.6,19.2251116269
125.7,15.3045529561
125.8,17.1860662178
125.9,26.5376284907
126,23.1507612993
126.3,14.0142517956
126.4,11.3124682478
126.5,10.324967717
126.6,16.9629063001
126.7,5.5211429347
126.8,24.6197358125
126.9,16.4759593684
127,23.4594651028
127.1,4.7382114072
127.2,30.602285095
127.4,21.7739099234
127.5,3.3314548299
127.7,20.2348129478
127.8,5.9703020936
127.9,12.5680010394
128,8.1503205973
128.1,5.5972574991
128.2,18.6392246919
128.3,17.7983644859
128.4,9.064973285
128.5,26.6913332646
